user_name,user_birthday,user_gender,party,electorate,category,onwork_title,reuslt,vote_date,period_start,period_end,note
王金平,,male,中國國民黨,不分區,立委,院長,1,2012/1/14,2012/2/1,2016/1/31,
王育敏,,femal,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
曾巨威,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
楊玉欣,,femal,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
邱文彥,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
洪秀柱,,femal,中國國民黨,不分區,立委,副院長,1,2012/1/14,2012/2/1,2016/1/31,
吳育仁,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
潘維剛,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳鎮湘,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李貴敏,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蘇清泉,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳碧涵,,femal,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
詹凱臣,,male,中國國民黨,僑居國外國民,立委,,1,2012/1/14,2012/2/1,2016/1/31,
徐少萍,,femal,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
紀國棟,,male,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2015/7/15,喪失黨籍
陳淑慧,,femal,中國國民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
詹滿容,,femal,中國國民黨,不分區,立委,,1,2015/7/16,2015/7/16,2016/1/31,缺額遞補
陳節如,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
柯建銘,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
吳宜臻,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李應元,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
田秋堇,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蔡煌瑯,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蕭美琴,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳其邁,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
鄭麗君,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
段宜康,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
尤美女,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
吳秉叡,,male,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
薛凌,,femal,民主進步黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
許忠信,,male,台灣團結聯盟,不分區,立委,,1,2012/1/14,2012/2/1,2014/2/1,辭職
黃文玲,,femal,台灣團結聯盟,不分區,立委,,1,2012/1/14,2012/2/1,2014/2/1,辭職
林世嘉,,male,台灣團結聯盟,不分區,立委,,1,2012/1/14,2012/2/1,2013/7/15,喪失黨籍
葉津鈴,,femal,台灣團結聯盟,不分區,立委,,1,,2012/2/1,2016/1/31,缺額遞補
賴振昌,,male,台灣團結聯盟,不分區,立委,,1,,2012/2/1,2016/1/31,缺額遞補
周倪安,,femal,台灣團結聯盟,不分區,立委,,1,,2012/2/1,2016/1/31,缺額遞補
李桐豪,,male,親民黨,不分區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
張曉風,,femal,親民黨,不分區,立委,,1,2012/1/14,2012/2/1,2013/3/17,辭職
陳怡潔,,femal,親民黨,不分區,立委,,1,,2012/2/1,2016/1/31,缺額遞補
丁守中,,male,中國國民黨,臺北市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
姚文智,,male,民主進步黨,臺北市第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
羅淑蕾,,femal,中國國民黨,臺北市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蔡正元,,male,中國國民黨,臺北市第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林郁方,,male,中國國民黨,臺北市第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蔣乃辛,,male,中國國民黨,臺北市第六選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
費鴻泰,,male,中國國民黨,臺北市第七選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
賴士葆,,male,中國國民黨,臺北市第八選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
吳育昇,,male,中國國民黨,新北市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林淑芬,,femal,民主進步黨,新北市第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
高志鵬,,male,民主進步黨,新北市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李鴻鈞,,male,中國國民黨,新北市第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
黃志雄,,male,中國國民黨,新北市第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林鴻池,,male,中國國民黨,新北市第六選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
江惠貞,,femal,中國國民黨,新北市第七選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
張慶忠,,male,中國國民黨,新北市第八選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林德福,,male,中國國民黨,新北市第九選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
盧嘉辰,,male,中國國民黨,新北市第十選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
羅明才,,male,中國國民黨,新北市第十一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李慶華,,male,中國國民黨,新北市第十二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
謝國樑,,male,中國國民黨,基隆市選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳歐珀,,male,民主進步黨,宜蘭縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳根德,,male,中國國民黨,桃園縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
廖正井,,male,中國國民黨,桃園縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳學聖,,male,中國國民黨,桃園縣第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
楊麗環,,femal,中國國民黨,桃園縣第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
呂玉玲,,femal,中國國民黨,桃園縣第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
孫大千,,male,中國國民黨,桃園縣第六選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
徐欣瑩,,femal,民國黨,新竹縣選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
呂學樟,,male,中國國民黨,新竹市選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳超明,,male,中國國民黨,苗栗縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
徐耀昌,1955/6/30,male,中國國民黨,苗栗縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2014/12/25,辭職
徐志榮,,male,中國國民黨,苗栗縣第二選舉區,立委,,1,2015/2/7,2015/2/16,2016/1/31,補選遞補
蔡其昌,,male,民主進步黨,臺中市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
顏清標,,male,無黨團結聯盟,臺中市第二選舉區,立委,,1,2012/1/14,2012/2/1,2012/11/28,褫奪公權
顏寬恒,,male,中國國民黨,臺中市第二選舉區,立委,,1,2013/1/26,2013/2/1,2016/1/31,補選遞補
楊瓊瓔,,femal,中國國民黨,臺中市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
蔡錦隆,,male,中國國民黨,臺中市第四選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
盧秀燕,,femal,中國國民黨,臺中市第五選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林佳龍,,male,民主進步黨,臺中市第六選舉區,立委,,1,2012/1/14,2012/2/1,2014/11/25,辭職
黃國書,,male,民主進步黨,臺中市第六選舉區,立委,,1,2015/2/7,2015/2/16,2016/1/31,補選遞補
何欣純,,femal,民主進步黨,臺中市第七選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
江啟臣,,male,中國國民黨,臺中市第八選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
王惠美,,femal,中國國民黨,彰化縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林滄敏,,male,中國國民黨,彰化縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
鄭汝芬,,femal,中國國民黨,彰化縣第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
魏明谷,,male,民主進步黨,彰化縣第四選舉區,立委,,1,2012/1/14,2012/2/1,2014/11/25,辭職
陳素月,,femal,民主進步黨,彰化縣第四選舉區,立委,,1,2015/2/7,2015/2/16,2016/1/31,補選遞補
馬文君,,male,中國國民黨,南投縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
林明溱,,male,中國國民黨,南投縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2014/12/25,辭職
許淑華,,femal,中國國民黨,南投縣第二選舉區,立委,,1,2015/2/7,2015/2/16,2016/1/31,補選遞補
張嘉郡,,femal,中國國民黨,雲林縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
劉建國,,male,民主進步黨,雲林縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
翁重鈞,,male,中國國民黨,嘉義縣第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳明文,,male,民主進步黨,嘉義縣第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
李俊俋,,male,民主進步黨,嘉義市選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
葉宜津,,femal,民主進步黨,臺南市第一選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
黃偉哲,,male,民主進步黨,臺南市第二選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
陳亭妃,,femal,民主進步黨,臺南市第三選舉區,立委,,1,2012/1/14,2012/2/1,2016/1/31,
